Bathrooms,Bedrooms,Floor area,Furnishing,Parkings,Price,Swimming pool,Type,State,PostalCode
2,3,1744,0,1,44000000,1,0,0,00300
2,3,1300,0,1,43750000,1,0,0,00300
2,3,1300,1,1,43500000,1,0,0,00300
2,3,1618,0,1,43000000,0,0,0,00300
1,1,898,1,1,43000000,1,0,0,00300
2,3,1300,0,1,42750000,1,0,0,00300
2,2,850,1,1,42000000,0,0,0,00300
2,2,1300,1,1,40000000,1,0,0,00300
2,3,1450,1,1,40000000,0,0,0,00300
2,3,1500,1,1,39800000,0,0,0,00300
1,1,700,1,1,38000000,1,0,0,00300
2,3,1365,0,1,38000000,1,0,0,00300
2,3,1800,0,1,38000000,0,0,0,00300
2,3,1450,0,1,36000000,0,0,0,00300
2,3,1540,1,1,36000000,0,0,0,00300
1,1,896,1,1,36000000,1,0,0,00300
2,3,1400,1,1,36000000,0,0,0,00300
2,3,1500,1,1,36000000,0,0,0,00300
3,3,1350,0,1,34000000,0,0,0,00300
2,3,1330,0,1,33500000,1,0,0,00300
2,3,1500,0,1,32000000,0,0,0,00300
2,3,1500,0,1,32000000,1,0,0,00300
2,2,1000,0,1,30000000,0,0,0,00300
1,1,615,0,1,29000000,1,0,1,00300
2,3,1150,1,1,325000,1,0,1,00300
3,4,2000,1,1,72000000,1,0,0,00400
2,3,1600,0,1,59000000,1,0,0,00400
3,3,2500,0,1,45000000,0,0,0,00400
3,3,2500,0,1,45000000,0,0,0,00400
2,3,1630,0,1,44000000,0,0,0,00400
2,3,1500,1,1,38000000,1,0,0,00400
3,3,1450,1,1,38000000,0,0,0,00400
3,3,1350,0,1,35000000,1,0,1,00400
2,3,1410,0,1,33000000,0,0,0,00400
2,3,1450,0,1,32000000,1,0,0,00400
2,2,1000,1,1,32000000,1,0,0,00400
2,3,1160,1,1,32000000,1,0,0,00400
2,3,1300,0,1,29000000,0,0,1,00400
2,3,1200,1,1,29000000,1,0,0,00400
2,3,1000,1,1,28500000,1,0,0,00400
2,2,1244,0,1,27000000,0,0,0,00400
2,2,890,0,1,26500000,1,0,1,00400
2,2,920,0,1,25000000,1,0,1,00400
2,2,885,0,1,25000000,1,0,1,00400
2,3,1000,1,1,24000000,0,0,0,00400
3,3,1000,1,1,23000000,0,0,0,00400
4,4,4370,1,1,210000000,1,0,0,00500
4,3,23000,1,1,85000000,1,0,0,00500
4,4,1800,0,1,73000000,1,0,1,00500
3,3,1380,0,1,64000000,1,0,1,00500
2,3,1700,1,1,64000000,1,0,0,00500
2,3,1500,1,1,62000000,1,0,0,00500
2,3,1380,0,1,61000000,1,0,1,00500
2,2,1200,0,1,61000000,1,0,1,00500
2,3,1700,1,1,60000000,1,0,0,00500
2,3,1313,0,1,58500000,1,0,1,00500
2,3,1313,0,1,58500000,1,0,1,00500
3,3,1219,0,1,57000000,1,0,1,00500
2,2,1334,1,1,56000000,0,0,1,00500
2,3,1330,0,1,55000000,1,0,1,00500
3,3,1750,0,1,55000000,1,0,1,00500
2,3,1750,0,1,52500000,0,0,0,00500
2,3,1510,1,1,50000000,1,0,1,00500
2,3,1510,0,1,49900000,1,0,1,00500
2,3,1510,0,1,47000000,1,0,1,00500
2,3,1950,1,1,45000000,0,0,0,00500
2,2,1300,0,1,44000000,1,0,0,00500
2,3,1700,1,1,40000000,1,0,0,00500
2,3,1525,0,1,40000000,1,0,0,00500
2,3,1525,0,1,40000000,1,0,1,00500
2,3,1525,0,1,39500000,1,0,1,00500
2,3,1700,0,1,39000000,1,0,1,00500
3,1,1700,0,1,38500000,1,0,1,00500
2,1,1700,0,1,38000000,1,0,1,00500
2,3,1700,0,1,37500000,1,0,1,00500
2,3,1700,0,1,37000000,1,0,1,00500
2,3,1500,0,1,36000000,0,0,1,00500
2,3,1450,1,1,35000000,0,0,0,00500
2,3,1245,0,1,35000000,0,0,1,00500
2,3,1420,0,1,33500000,1,0,0,00500
2,3,1200,0,1,33000000,0,0,1,00500
2,2,953,0,1,33000000,1,0,1,00500
2,2,1135,1,1,32000000,1,0,0,00500
2,2,930,0,1,29500000,1,0,1,00500
2,3,1250,0,1,28000000,1,0,1,00500
2,3,1220,0,1,27000000,1,0,1,00500
2,2,990,0,1,27000000,0,0,0,00500
